cuce,entidad,objeto,fecha_pub,estado,links_archivos,links_formularios
25-1346-00-1624209-1-1,Gobierno Autonomo Municipal De Cocapata,Const. Sistema De Riego Calabatea,31/12/2025,Vigente,"['Tc0LD9TL0YP2LvGpNOwzzQ==::TIgRFSYylmA56/yJYEfUYkxg7pP5By7i2eRKPHcIZ+6p1K8QvjvJCBi+s4F9HsrM+Gf36bNvk0bbJ5cRWHAPmg==', '1z+D6g19i7h511HiEX5gXw==::HzgMdB4VvQuSzSX/B8bNRvO/cC/NcwSp9ff7+jUkfTIYFpAUIW2toIPAtRdDlTfjBy0aCffghz+b/Om6f0+mkg==', 'KRrotWpjBm5X8Hk9Wi9Row==::/lqaP94LBKU83Oui93G2zOR9/Chhdj2Uhe6wpbOp9I+MHykOOC5PjpzQGN7PR6cAX/jX2K7k6hgE1hxvrkDBRQ==', 'MbrrSsRzg4Yuqjxce9RU0g==::ZSjwmYkdm/Vs1Ma7mp5K21SVYeSD8oqnWO3dMZ2ci4Ak9wN4DmXmK9k5d4y1kIRLYPo6Lh5rMO5Q6HavVHLZvQ==', 'jco1pzSnD8Ss94phbauJeg==::XGnaCYmjqRfaSVKShKzqAHtaUJ/NjKK6lH9c4jn4vNwZVB54xO8VPXx1Lagj2FEtsX7JH+WPsrslnsz+pweZaw==', 'hKE7BjOgUjKUNz3pGQ2n5w==::uhpH/wbToh0cO7iziLaXDaF159v/d06uf3frmH83gbPs1bbvv0vxOiuU0hY459alaMpHH7W/AQuLK1eW5IUnTA==', '/qawWqHpTL5OD3Z3b1SjGQ==::NA4SzZrLxWCAEH/DIHAEQb4ShvkUDOUePv0FGSiOSXjvUg9ARVnl/qzO+Pr+iTfHjEVhjAiKg+8E/N4i8morUQ==', '4RUaq80yewpA5MXrNXd9gw==::xGH63rlTUxsUEftABlHGsIZXDOd9tlJUVrtymvm3C7u+tP40mwKl5O5E6mlILQ/t1XbYKxhYP3NpacAbfEh1cA==', 's2eTAdgyJ3aPjuHASiyXiw==::2Q5/Z/tB30BPmbzXanmpp+GnNdoeitjHfmVJ4yA1IIkkRB51i0MD3gmpMufn/WxzpZ2Xz2v2bqJU2bQwGsK9Ag==', 'UhgOHHoSPtiTv2O6Z80ZOQ==::AQ2ypg7ndleYsG5ZaPBLA3WT5z3sdpZjobhBAc93cvDiwOmBMmMf/5opxtJ89lp8bLBnjMHNGoZYAQ/HNbElIg==', 'x5ySAGCYVnkVVROCTQEXTg==::V6kKDHKOV+l2MOyTcudxqtjUmxgJSqGmy3+mkROFiquBEdllpy8KidG7J6s2PeLTWHPphti+egyOfkL//FwBfw==', 'PxBoDIBkAE+8KhyA9YW+9A==::2uw9fk2BKvuJGtmxLmeULHfX44QY5Iex+w/vzqoh1zFkgaGDvOlg0ex2jbuz0u+0jhcraTAScCBQ57noubiEvw==', '4ubF8yEqydKRRYnNyF2shA==::m17b66oRHXghY5zgQz2k1UBFOn4dt2WwgYVT6jPHFmPddc4loiMg+qJxx3VebLse']",['XSi7WcYfBFVBBaTQf3hHxQ==::vdCrNSmVs8QMwhGV1BRpxLJ7JvU2i0DC4BgBnlIRC23Pee2kU/xOUBoC7hPlDEfQD87/myyW+11bxPP1jdexww==']
25-1530-00-1624317-1-1,Gobierno Autonomo Municipal De Uyuni,"Alimentación Complementaria Escolar ""Área Dispersa"" Y ""Área Concentrada"" Municipio De Uyuni Gestión 2026",31/12/2025,Vigente,"['tAfJfbPWggUNRUoAO9td6A==::d3lG/Ttk9tlLZYallgwmkUP3kdqjPV0a6iLFJOmlAeRs6dRZjN54Q1T7jgnmueMoIUaQtOsYcJh7fMJoP8l3HA==', 'g8JZQUfqsEEvUvHMcIMezw==::ryNtZQNWiWQChA/fD+ZGgeosakndnMDd9v2JQtCsVH38omvRmZs6chM0D2XAJKBFjwHe8nyEzMDw47niuwygxw==']",['WsU8g5o6kn/hiALv18WZRw==::3cTnaGruTGTdL4P3B43o2aiR3TYVthx3H5BXRhFfqtvayKJqOQ7NolKGtnaajYJJeDDPziNUDRUTHNPknBzzFw==']
25-1101-00-1613852-2-3,Gobierno Autonomo Municipal De Sucre,Construccion Pavimento Rigido Av. Bicentenario Jv. 27 De Mayo,31/12/2025,Vigente,"['w8zUDOHJvkp0rHYPWUZblQ==::TCgwA2LHPkWhnd+ZRK0bBLWQqc1vNUJJUqSIGr2ycYPOqkwVCfF+n/ot6MfzOvIIhKJ/r4VRAWpjx1qc46eFrA==', 'uYvQGFrXa+oJBvVhGTm5hw==::6hyI72a2ramWBhz9afUuByY76sx53Vn5NThnP0Q2BPUvObq6rJOPtX4Wkj+8MLdgO+G/yzmapPV60o9xu03DgA==', 'OiHGLyhNh0XVJCUBI347fw==::kD7MPeHWEiapo2UbccpHRKm9KJn8VRGxtRKL/a31/QvJSa063EC1wEBlJVHYelA++3+ybhJ1c6+O0UNCnBTMWQ==', 'mXghfiS36oVYSRZ5JZue3g==::ALYXsLRwP7y9Q5qD0fZHSShpDLkXG2E4avwG+YrUlZDJzOt8sg+O51GjusHrJuhGNocc4o0VYpQoirTPfb0HSA==']",['exLcLoipMTUWU9MJlnyHeQ==::rF/+nfe0DEJfKeSbfsIopUp00SPDmB0kWLESLl9bPz69rIVFeCAAVYykQhWXdEzadpAwH+2b3zbQoLfr07S1Kg==']
25-1301-00-1624414-1-1,Gobierno Autonomo Municipal De Cochabamba,Adquisición De Madera Y Puertas De Baños 210-0000-034,31/12/2025,Vigente,"['msj0n8YDOQBDT46cy3h9qg==::K7bYpn5DxOmZs/GEtjrlDMph3q0gRbosBYpMDl3+zDX4WaxwMUn+2DjyHwcUOe4aUxFEp56sKq/iqAqTQaJO3g==', '4dhOBVuw7GuH6sEm7gZraw==::FLBxpuxRECv7Bx0aU3xwok4OVVMJK6dFpqxAWmQLGdsOQVGWiqc2wctzjTUs14EvnB1+3gIF8vBobUz+Ge3EsQ==']",['eLFGB4sLJzj849o2DCqb2w==::EnL2svTaVnueQDvdWsB6h5HDK53l9GPQUQ3ExjDMaopmqN2Dqgp24kC35GgfG6pFje5bBVfmWPS36FxfgtrmpQ==']
25-1301-00-1620794-2-1,Gobierno Autonomo Municipal De Cochabamba,"Servicio De Mantenimiento Medico, Laboratorio Y De Computacion Para Centros De Salud Integrales De La Red Cercado Gestion 2026",31/12/2025,Vigente,"['0joiS6q+tzPG6BsrBy+JGw==::j17AHOVzFI9WCaWCWveI/ZMnN15W4GaoyZ1zBCHHRhzLlfrtoKN2bnYJxpp8szOJQ0iP9UQQ0Dw1ZRWRkXvRSg==', '5Iwj400xzNnNoddKqqWrlA==::TlIfr+uqAgGL27O3EtZ06PuvSQsIFjSuVU58KEx4icUqyyCAVd3NpxmXtwzOLTHmnx/7hTE9/Y7xdn2rhw7gMg==']",['ZintFn0FARAHkxieCpH0eQ==::mN2SqaVo6E4AxN1nKGIH4ZFFSSrjdfNRCpm0CaRkqv7W5IIZKq1KyO4ehEEXjrevLfOD05CyGvmnx4tBr9Bl6A==']
25-0904-00-1621340-2-1,Gobierno Autónomo Departamental De Oruro,Servicio De Fotocopias Y Anillados Para Unidades De Funcionamiento Y Programas Del Gad-Oru Para El Primer Semestre Gestion 2026,31/12/2025,Vigente,"['flGvtSt4DDK1WbBlWKHbIQ==::GLpHO8KQCAuITQcWdHv+VRAa2lhKnpc9ywbrscHlXDKKDmQ65iTYpy2Va7RtOVc/+6XI472gxxdEiw2fcq8U3g==', 's2Dmxgtc0vYeCFaXPSvEPw==::USWV/algYCDx1OFhObFlcj0/JzQzSIlGrXrVIV7VTH2kXVCt67t3TPu1leK3JuY0YXc0PQcg6p5V9LkWJDFJAg==']",['hOvwn/TyZUo2UWX/Wxt7Ug==::QI/gJx0AdUBt5aztz58t638uMkyY1wCWTz7I6a69IyvsuJtmDs4oZtdXq1CYG5k6x9eVY7sZmdeLjChFYPkEcg==']
25-0046-31-1623986-1-1,Seguro Social Universitario Santa Cruz,"Contratación Del Servicio De Laboratorio De Análisis Clínicos Para La Atención En Emergencia Y Hospitalización De Los Asegurados Y Beneficiarios Del Seguro Social Universitario Santa Cruz (Ssu) Y Para Los Estudiantes Del Seguro Social Universitario Estudiantil (Ssue), Gestión 2026, Con Cargo Al Presupuesto 2026.",31/12/2025,Vigente,"['io3Rs8wVdisWbNT8sysLqQ==::sfY8t5TmnjwBApkQx8mFpiE6lVSBuEosWwkmRSOpNGEGGuatpOU3b5R14TYX2NbodL242xX+PQEV7VBeJy7epQ==', 'lRYH64JUDkxDNrTbFhxXNA==::Snh3yTu0iOuk9dqbVz7sSnIjHsJAwX1w961mtw8MZMTGtjioJG9mUrgWojdScMIzS1mprjUCjiXqZam/Ax8zYg==', 'lYGBNeheZ687OpgXh9yOtA==::NKPVWuGeRd2pc25AO48Z7wq1fLw1Ucgq+eZ2q6afMfcW1JCwOHYSHao2ig0P4jWtIfwT9Xgk5sgA7+5vb+fc7w==']",['1ceKmqlOLjrbsqVQridoEQ==::Q3ZLCXIeLfNxK5aql0spVxste4Iih416cBKZGoldWU0AK0T3hr4gxhSMastYx8HHW/aAtbYLfSX2jX+3UyrnZw==']
25-1745-00-1624405-1-1,Gobierno Autonomo Municipal De Ascencion De Guarayos,Ampliacion Unidad Educativa 27 De Mayo Ascension De Guarayos,31/12/2025,Vigente,"['E/slgRCHBVr3zzbUcLnD6A==::ZzPo1ktcufxA3fWUHqCtmoGg5BLYqDEUq0jUXj2KcgCBwS2U+P4AD7X46YNmVtiQOd0Y561VE6h/M8KZ8JvTTw==', 'ybxGl0t5VXlrpnd82bkLuQ==::WNQfVFzdB6NAaOCYdAnl1E5BSLTjgZR07GEfaLSy+KYK57UyQn7kzOfrDkOZoNeOTE3ArILC2NETOUB7B3YG+A==', 'y1v6iYp6lad+S5YMuNQd4w==::nQIIH2j0Eyl/nPNlfDDu625Xon+BmDFAz6CB9KzNhSYtsZ0i+VYJRo+iF2ArSjnukvoH1WPjNw9UDI/6UYdXmQ==', 'Uf/c4gE6DDJjhwg1kux0Sg==::xi5aB8Sa8A9MQuUeUgMzkEgmJ/D8UMrM3+BR2MjCSaq4zw2Z3toYtAadKPiaC5dGDDzmc+nO/WfsrTLKX5Eb1A==']",['hIXfcSCQ6e5cXIzViMcwjQ==::2QxUjZ3YWakuj1m1//ripFxOwKplCmUAB3SduOkJ8UltIo2CRXr0Vl/rdRGsKigAd3TyJGtn2oTNtCWjE1f9yQ==']
25-0903-00-1624395-1-1,Gobierno Autónomo Departamental De Cochabamba,Servicio De Atencion Del Estacionamiento Vehicular Del Gobierno Autonomo Departamental De Cochabamba - Gestion 2026 - Item 4,31/12/2025,Vigente,"['guN7WOlJX0mgP+wKTlcPnw==::2xs0Y+Fb/n8B9hoJ7eusWKqm5BEbZxh9YOs6EXwL/Ljtba7GOw0PWN5xtUzmr2SoLXS7XKkrWNATe473Xfheow==', 'KRFhyMgjvQk68VqjQEpNOg==::xWfQ3/6hHuZCgEcFG0ZegOkwiDi9h70SMDk8pxroO/IWF9Aa0kvMNNSO4w2Q0cxIz4YFH1LXmrxdctDy4O0Y9Q==']",['nXVDjqRx6zhB8Svzvswiqg==::qTrUMpZSmFiMrnT2mW/EvirKrKozUm0kR22qU8HCRp54H2gb95/XBKjBj1rXnQHfoM7Fv5qQHxz4ZMbC8/6oPQ==']
25-1301-00-1624403-1-1,Gobierno Autonomo Municipal De Cochabamba,Contratacion De Servicios Para El Mantenimiento De U.E. Municipio De Cercado (Subalcaldia Itocta Y Tamborada),31/12/2025,Vigente,"['9QtHtaGj+qjCH6WwkDVxIQ==::R9TtbMF2WA39zBvqPenS+hJn2vMCJi2541+S0tCHk7JGnawrW8Bzt8mvjevt6fdaliiHspRzmraMg7uRX+WGGA==', '/TAiyAwRFTDmWRX51NHqmw==::v2EyFi5Hb5iwrsJFJzIIXMLW6ajVrOknO58Nx2byaa0H5XRqdK1GSnwjkVU+/O7UptvtjfH8gdAzLZ9D35mYHA==']",['O/s0ufIkGS1q77kx59SZVg==::YwEUmqLr90cPceS0IEvlwI2ijBOlZye9d1akz4gwmj3ZKmLHJV9ctZeNFgN5b6jwBnFMHCihDfrQcA1aZMBmNA==']
